n,nodes
120,46
144,65
168,76
192,100
216,113
240,150
264,161
288,203
312,219
336,262
360,282
384,327
408,357
432,403
456,433
480,492
504,533
528,580
552,615
576,691
600,718
624,784
648,829
672,929
696,943
720,1039
744,1069
768,1169
792,1218
816,1317
840,1383
864,1451
888,1487
912,1607
936,1673
960,1772
984,1832
1008,1970
1032,2007
1056,2123
1080,2209
1104,2332
1128,2391
1152,2519
1176,2571
1200,2724
