n,nodes
790,5341051
790,OOM
948,8600792
948,OOM
1106,11774421
1264,11875044
1264,OOM
1422,12411143
1422,OOM
1580,23787832
1580,OOM
1738,12414314
1738,OOM
1896,10855116
1896,OOM
2054,OOM
2212,OOM
2370,OOM
2528,OOM
2686,OOM
2844,OOM
3002,OOM
3160,OOM
3318,OOM
3476,OOM
3634,OOM
3792,OOM
3950,OOM
