n,nodes
276,196
292,124
306,90
325,225
436,289
492,361
530,422
598,809
636,609
920,3460
1080,427
1504,2819
2432,368
2558,334
3575,8138
6608,981
9620,1109
9970,992
9974,988
10048,126969
10354,1023
10362,878
10714,1311
11072,970
12920,1214
21547,804028
38746,OOT
65839,OOT
100668,OOT
