n,nodes
120,26
144,33
168,34
192,42
216,44
240,59
264,52
288,62
312,60
336,78
360,74
384,88
408,75
432,85
456,83
480,99
504,94
528,110
552,100
576,116
600,110
624,120
648,134
672,132
696,131
720,136
744,146
768,147
792,168
816,175
840,165
864,184
888,167
912,174
936,177
960,186
984,200
1008,208
1032,177
1056,209
1080,197
1104,228
1128,225
1152,245
1176,220
1200,250
