n,nodes
180,50
360,229
540,366
720,711
900,1257
1080,6967
1260,10218
1440,10609
1620,19160
1800,64332
1980,73002
2160,140568
2340,350156
2520,426359
2700,1228264
2880,3262499
2880,OOT
3060,2836952
3060,OOT
3240,1963970
3240,OOT
3420,929510
3420,OOT
3600,3504156
3600,OOT
3780,OOT
3960,OOT
4140,OOT
