n,nodes
120,290
144,804
168,970
192,2712
216,3208
240,6544
264,8956
288,19524
312,32695
336,64222
360,125266
384,250990
408,OOM
432,OOM
456,OOM
480,OOM
504,OOM
528,OOM
552,OOM
576,OOM
600,OOM
624,OOM
648,OOM
672,OOM
696,OOM
720,OOM
744,OOM
768,OOM
792,OOM
816,OOM
840,OOM
864,OOM
888,OOM
912,OOM
936,OOM
960,OOM
984,OOM
1008,OOM
1032,OOM
1056,OOM
1080,OOM
1104,OOM
1128,OOM
1152,OOM
1176,OOM
1200,OOM
